City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,26.35,74,99,0.16,PN,1708924268
1,punta arenas,-53.15,-70.9167,11.06,87,75,1.54,CL,1708924608
2,uturoa,-16.7333,-151.4333,28.77,78,46,5.19,PF,1708924608
3,lib,8.3122,167.3766,27.69,81,22,6.67,MH,1708924609
4,daru,-9.0763,143.2092,30.16,74,57,1.49,PG,1708924609
5,eruh,37.7517,42.1811,1.46,47,0,2.75,TR,1708924610
6,quellon,-43.1167,-73.6167,10.86,87,3,1.2,CL,1708924611
7,brookings,44.3114,-96.7984,2.32,81,40,5.14,US,1708924611
8,dudinka,69.4058,86.1778,-15.21,93,100,13.7,RU,1708924583
9,waitangi,-43.9535,-176.5597,17.12,67,97,0.89,NZ,1708924472
10,port-aux-francais,-49.35,70.2167,6.09,85,100,9.83,TF,1708924537
11,sanya,18.2431,109.505,28.09,61,20,4.0,CN,1708924613
12,longyearbyen,78.2186,15.6401,-17.09,78,40,2.57,SJ,1708924124
13,lebu,-37.6167,-73.65,12.87,87,5,5.66,CL,1708924614
14,west island,-12.1568,96.8225,28.3,75,36,7.23,CC,1708924614
15,sisimiut,66.9395,-53.6735,-17.38,85,75,3.97,GL,1708924615
16,ribeira grande,38.5167,-28.7,15.99,92,22,7.15,PT,1708924471
17,yellowknife,62.456,-114.3525,-28.58,93,63,4.47,CA,1708924616
18,guerrero negro,27.9769,-114.0611,17.48,71,100,3.21,MX,1708924616
19,susuman,62.7833,148.1667,-26.68,92,74,0.89,RU,1708924617
20,sao joao da barra,-21.6403,-41.0511,23.18,91,83,1.65,BR,1708924617
21,iskateley,67.6803,53.1512,-1.1,94,100,7.6,RU,1708924567
22,nuku'alofa,-21.1333,-175.2,28.19,89,40,5.14,TO,1708924618
23,invercargill,-46.4,168.35,18.34,62,100,1.79,NZ,1708924558
24,hovd,48.0056,91.6419,-13.08,49,46,1.7,MN,1708924619
25,tiksi,71.6872,128.8694,-19.83,91,100,8.48,RU,1708924543
26,papatowai,-46.5619,169.4708,14.73,70,100,3.92,NZ,1708924620
27,hotan,37.0997,79.9269,1.92,47,99,1.33,CN,1708924621
28,saipan,15.1355,145.701,28.39,65,40,5.66,MP,1708924373
29,meadow lakes,61.6247,-149.6011,-10.31,88,0,0.0,US,1708924622
30,tazovsky,67.4667,78.7,-13.48,92,100,10.37,RU,1708924622
31,la ronge,55.1001,-105.2842,-18.48,89,89,4.33,CA,1708924415
32,puerto natales,-51.7236,-72.4875,9.77,94,61,0.89,CL,1708924623
33,baruun-urt,46.6806,113.2792,-11.13,81,100,5.52,MN,1708924624
34,mugia,43.1041,-9.2179,10.51,73,73,13.52,ES,1708924624
35,albany,42.6001,-73.9662,2.07,54,94,1.79,US,1708924539
36,ushuaia,-54.8,-68.3,9.89,99,100,0.11,AR,1708924526
37,queenstown,-31.8976,26.8753,8.87,70,56,1.53,ZA,1708924626
38,enewetak,11.3474,162.3373,27.02,76,14,4.04,MH,1708924626
39,illizi,26.4833,8.4667,9.4,36,0,1.71,DZ,1708924627
40,mana,5.6592,-53.7767,25.43,79,62,4.51,GF,1708924627
41,nakskov,54.8373,11.1284,4.58,86,100,0.47,DK,1708924628
42,polyarnyy,69.1989,33.4478,1.88,85,100,9.51,RU,1708924628
43,zvenigovo,55.9742,48.0181,-7.47,83,100,3.59,RU,1708924629
44,nema,57.5067,50.5011,-8.02,85,100,3.95,RU,1708924629
45,souillac,-20.5167,57.5167,26.3,94,75,6.69,MU,1708924630
46,port douglas,-16.4833,145.4667,28.82,82,60,3.46,AU,1708924630
47,bethel,41.3712,-73.414,1.42,82,0,0.0,US,1708924621
48,joshimath,30.5667,79.5667,12.34,20,98,2.34,IN,1708924631
49,atafu village,-8.5421,-172.5159,29.52,69,76,4.97,TK,1708924631
50,nongpoh,25.9,91.8833,22.21,27,2,2.52,IN,1708924632
51,nova sintra,14.8667,-24.7167,19.86,73,2,5.68,CV,1708924633
52,bilibino,68.0546,166.4372,-29.08,99,100,1.05,RU,1708924560
53,grytviken,-54.2811,-36.5092,2.19,90,55,5.14,GS,1708924556
54,mbabane,-26.3167,31.1333,15.99,97,100,1.56,SZ,1708924635
55,middelburg,-25.7751,29.4648,19.2,78,4,4.87,ZA,1708924636
56,blackmans bay,-43.0167,147.3167,19.74,45,27,4.42,AU,1708924637
57,utrik,11.2278,169.8474,26.52,79,49,7.58,MH,1708924463
58,dunedin,-45.8742,170.5036,15.45,81,100,0.89,NZ,1708924638
59,el triunfo,-1.9333,-79.9667,27.02,96,100,0.58,EC,1708924638
60,petropavlovsk-kamchatsky,53.0452,158.6483,-7.67,67,0,6.0,RU,1708924468
61,qaqortoq,60.7167,-46.0333,-8.07,87,99,3.5,GL,1708924593
62,kismayo,-0.3582,42.5454,28.41,77,99,4.54,SO,1708924640
63,malanville,11.8685,3.3899,25.24,20,12,3.85,BJ,1708924640
64,mili,6.0815,171.735,28.18,80,39,5.4,MH,1708924640
65,bom jesus,-9.0744,-44.3586,23.09,79,21,0.21,BR,1708924641
66,nar'yan-mar,67.6713,53.087,-1.05,94,100,7.6,RU,1708924117
67,klyuchi,52.2667,79.1667,-8.94,90,100,3.29,RU,1708924642
68,xinyi,22.373,110.9475,17.81,65,100,1.47,CN,1708924642
69,bredasdorp,-34.5322,20.0403,14.66,68,9,2.01,ZA,1708924318
70,ilulissat,69.2167,-51.1,-16.99,71,75,5.66,GL,1708924384
71,toscolano maderno,45.6345,10.6084,9.06,83,100,2.5,IT,1708924644
72,port mathurin,-19.6833,63.4167,26.52,72,41,7.72,MU,1708924644
73,whitehorse,60.7161,-135.0538,-23.57,100,93,1.5,CA,1708924438
74,santa lucia,27.9117,-15.5407,14.41,67,75,10.29,ES,1708924645
75,alice springs,-23.7,133.8833,39.56,16,0,8.75,AU,1708924557
76,troitsko-pechorsk,62.7084,56.1964,-0.17,95,100,4.02,RU,1708924646
77,howrah,22.5892,88.3103,24.0,53,0,4.63,IN,1708924439
78,las heras,-46.5419,-68.9359,17.59,56,97,0.4,AR,1708924647
79,burutu,5.3509,5.5076,25.86,90,75,1.81,NG,1708924647
80,hermanus,-34.4187,19.2345,13.78,73,1,5.6,ZA,1708924648
81,blythe,33.6103,-114.5964,21.25,30,0,0.0,US,1708924648
82,minas de marcona,-15.2119,-75.1103,19.28,86,99,4.84,PE,1708924649
83,georgetown,5.4112,100.3354,33.96,46,20,5.14,MY,1708924509
84,nyagan,62.1406,65.3936,-0.83,95,100,3.92,RU,1708924592
85,port augusta,-32.5,137.7667,34.83,14,37,3.57,AU,1708924651
86,dzhangala,49.2167,50.3333,-10.22,72,1,3.35,KZ,1708924652
87,siwa oasis,29.2041,25.5195,13.14,46,1,4.87,EG,1708924652
88,port elizabeth,-33.918,25.5701,16.72,91,100,5.66,ZA,1708924653
89,tolanaro,-25.0319,46.9987,25.67,87,97,3.82,MG,1708924653
90,envira,-7.3,-70.2167,21.23,99,99,0.51,BR,1708924653
91,san luis de la loma,17.2706,-100.8939,24.3,83,82,1.5,MX,1708924654
92,grand falls-windsor,48.9332,-55.6649,-9.72,83,11,1.97,CA,1708924654
93,swakopmund,-22.6833,14.5333,16.66,86,18,2.24,NA,1708924655
94,port alfred,-33.5906,26.891,14.54,96,90,1.34,ZA,1708924655
95,lihue,21.9789,-159.3672,24.58,70,75,8.23,US,1708924374
96,afaahiti,-17.75,-149.2833,26.93,81,41,3.87,PF,1708924656
97,sheopur,25.6667,76.7,24.13,18,100,5.54,IN,1708924657
98,vernon,50.2581,-119.2691,4.78,75,82,0.45,CA,1708924518
99,olonkinbyen,70.9221,-8.7187,-1.53,96,100,8.73,SJ,1708924652
100,woolgoolga,-30.1106,153.2007,31.13,71,4,4.41,AU,1708924511
101,anadyr,64.75,177.4833,-22.98,99,100,1.72,RU,1708924607
102,aasiaat,68.7098,-52.8699,-25.84,99,93,1.75,GL,1708924653
103,lehigh acres,26.6254,-81.6248,14.97,58,0,2.76,US,1708924391
104,hammerfest,70.6634,23.6821,-0.75,80,75,0.0,NO,1708924398
105,kill devil hills,36.0307,-75.676,4.99,80,0,0.0,US,1708924660
106,klaksvik,62.2266,-6.589,-2.49,56,89,3.96,FO,1708924661
107,varadero,23.1536,-81.2514,20.03,61,0,4.39,CU,1708924420
108,jilma,35.2731,9.4239,8.69,53,47,3.5,TN,1708924662
109,iqaluit,63.7506,-68.5145,-21.84,76,100,1.91,CA,1708924288
110,san antonio de pale,-1.4014,5.6325,28.01,78,100,3.74,GQ,1708924662
111,coruripe,-10.1256,-36.1756,26.36,79,28,3.92,BR,1708924663
112,vilyuysk,63.7553,121.6247,-25.56,94,99,0.89,RU,1708924403
113,edinburgh of the seven seas,-37.0676,-12.3116,19.52,95,94,9.15,SH,1708924664
114,pisco,-13.7,-76.2167,23.03,83,0,4.63,PE,1708924664
115,qamdo,31.1667,97.2333,-3.54,37,42,1.93,CN,1708924665
116,umm kaddadah,13.6017,26.6876,22.31,23,94,6.14,SD,1708924665
117,pathein,16.7833,94.7333,36.78,18,2,2.38,MM,1708924665
118,bikenibeu village,1.3673,173.1241,29.98,74,75,3.6,KI,1708924666
119,puerto ayora,-0.7393,-90.3518,26.97,92,50,0.45,EC,1708924666
120,hawaiian paradise park,19.5933,-154.9731,19.73,93,100,3.09,US,1708924667
121,wailua homesteads,22.0669,-159.378,24.24,70,75,8.23,US,1708924667
122,revda,56.801,59.9303,-10.71,72,73,5.35,RU,1708924608
123,rongelap,11.1635,166.8941,26.68,82,27,6.55,MH,1708924668
124,holualoa,19.6228,-155.9522,21.91,84,75,2.57,US,1708924010
125,kasongo-lunda,-6.4667,16.8167,21.3,99,100,0.29,CD,1708924669
126,margaret river,-33.95,115.0667,21.21,70,98,3.92,AU,1708924670
127,al kharijah,25.4514,30.5464,14.78,38,0,1.23,EG,1708924670
128,san patricio,28.017,-97.5169,20.47,83,97,5.94,US,1708924670
129,carutapera,-1.195,-46.02,23.87,95,96,0.65,BR,1708924671
130,tralee,52.2704,-9.7026,5.62,84,9,6.4,IE,1708924671
131,isafjordur,66.0755,-23.124,4.13,95,100,9.18,IS,1708924627
132,sulak,43.2734,47.5146,2.85,67,6,13.28,RU,1708924672
133,belo sur tsiribihina,-19.7,44.55,27.01,81,43,1.67,MG,1708924673
134,argostolion,38.1811,20.489,13.19,67,99,3.89,GR,1708924673
135,barreirinha,-2.7933,-57.07,24.07,92,99,1.25,BR,1708924674
136,guiyang,26.5833,106.7167,4.27,70,75,3.0,CN,1708924674
137,pudozh,61.8099,36.5345,1.08,98,100,5.36,RU,1708924674
138,jianshui,23.6363,102.8264,25.91,29,2,5.28,CN,1708924675
139,port lincoln,-34.7333,135.8667,19.53,77,100,4.52,AU,1708924675
140,chiang klang,19.2938,100.8617,35.85,29,0,1.63,TH,1708924676
141,constantia,44.1833,28.65,4.38,88,99,3.85,RO,1708924220
142,flying fish cove,-10.4217,105.6791,29.82,79,100,2.57,CX,1708924677
143,guthrie,35.8789,-97.4253,16.01,58,0,2.57,US,1708924677
144,bruchhausen-vilsen,52.8333,9.0,1.91,86,94,3.19,DE,1708924678
145,kenai,60.5544,-151.2583,-9.95,91,0,0.0,US,1708924647
146,san pedro pochutla,15.7333,-96.4667,22.64,84,79,1.83,MX,1708924679
147,bac giang,21.2667,106.2,13.04,71,100,0.96,VN,1708924679
148,manasa,24.4837,75.2687,22.6,25,99,7.7,IN,1708924679
149,maturin,9.75,-63.1767,24.91,94,30,3.09,VE,1708924680
150,sur,22.5667,59.5289,24.51,66,100,9.83,OM,1708924383
151,st. paul,44.9444,-93.0933,2.14,72,0,0.0,US,1708924681
152,monze,-16.2833,27.4833,19.2,82,33,1.08,ZM,1708924681
153,garoowe,8.4054,48.4845,21.74,75,70,4.17,SO,1708924682
154,portland,45.5234,-122.6762,9.99,93,100,7.2,US,1708924613
155,jamestown,42.097,-79.2353,5.77,52,96,3.13,US,1708924683
156,inari,68.906,27.0288,1.11,89,100,6.82,FI,1708924683
157,cuero,29.0939,-97.2892,19.82,91,41,1.79,US,1708924684
158,camana,-16.6228,-72.7111,23.35,89,100,3.79,PE,1708924684
159,lompoc,34.6391,-120.4579,12.18,88,0,1.54,US,1708924028
160,katabu,-4.9333,122.5167,27.83,83,72,0.91,ID,1708924685
161,bam,29.106,58.357,6.21,77,100,2.9,IR,1708924623
162,manadhoo,5.7667,73.3833,28.29,74,59,6.83,MV,1708924686
163,poronaysk,49.2167,143.1167,-11.83,86,90,1.92,RU,1708924387
164,turpan,42.9333,89.1667,4.4,32,0,1.23,CN,1708924687
165,sao jose da coroa grande,-8.8978,-35.1478,26.62,79,38,4.85,BR,1708924687
166,luxor,25.6989,32.6421,15.86,27,0,1.2,EG,1708924688
167,krasnovishersk,60.4078,57.082,-3.58,96,100,2.92,RU,1708924688
168,college,64.8569,-147.8028,-14.56,82,40,0.0,US,1708924515
169,ati,13.2154,18.3353,23.74,30,8,4.05,TD,1708924689
170,jiuquan,39.7432,98.5174,-1.68,51,82,2.38,CN,1708924690
171,betio village,1.358,172.9211,30.02,75,76,3.82,KI,1708924690
172,sorong,-0.8833,131.25,28.74,68,51,3.51,ID,1708924628
173,alvand,36.3187,49.1678,-8.51,77,100,7.91,IR,1708924691
174,amos,48.5669,-78.1162,-1.58,93,100,4.86,CA,1708924504
175,udachny,66.4167,112.4,-18.64,70,46,1.88,RU,1708924538
176,zagan,51.6176,15.3149,2.22,90,41,1.96,PL,1708924693
177,belebey,54.1167,54.1167,-15.5,77,15,1.63,RU,1708924693
178,san isidro,-12.1167,-77.05,25.01,81,40,3.6,PE,1708924694
179,kourou,5.1552,-52.6478,26.03,82,64,3.91,GF,1708924694
180,qinzhou,21.95,108.6167,10.79,77,100,4.6,CN,1708924695
181,port blair,11.6667,92.75,32.02,62,5,4.63,IN,1708924695
182,rikaze,29.25,88.8833,2.82,24,37,0.48,CN,1708924696
183,taro,-8.3862,115.28,27.0,74,85,1.62,ID,1708924517
184,rasskazovo,52.6714,41.9033,-6.92,86,100,5.47,RU,1708924696
185,rajpipla,21.8667,73.5,29.82,14,96,2.44,IN,1708924697
186,arraial do cabo,-22.9661,-42.0278,24.15,89,68,3.66,BR,1708924697
187,kodiak,57.79,-152.4072,-3.27,68,0,2.06,US,1708924114
188,pocone,-16.2567,-56.6228,25.42,70,73,0.82,BR,1708924416
189,aripuana,-9.1667,-60.6333,22.44,100,97,1.37,BR,1708924699
190,saldanha,-33.0117,17.9442,15.24,68,0,5.26,ZA,1708924699
191,ixtapa,20.7,-105.2,22.57,94,0,0.0,MX,1708924700
192,laguna paiva,-31.3039,-60.6589,23.32,80,86,5.4,AR,1708924700
193,mount isa,-20.7333,139.5,33.87,49,75,3.09,AU,1708924701
194,howard springs,-12.497,131.047,32.21,81,100,2.03,AU,1708924701
195,narsingdi,23.9208,90.7181,25.01,35,0,3.73,BD,1708924702
196,carnarvon,-24.8667,113.6333,26.88,76,22,5.34,AU,1708924702
197,bakanas,44.8081,76.2772,-6.48,67,6,3.54,KZ,1708924703
198,vilyuchinsk,52.9306,158.4028,-6.85,62,4,3.95,RU,1708924662
199,ciudad lazaro cardenas,17.9583,-102.2,23.67,86,100,1.39,MX,1708924704
200,bangkalan,-7.0455,112.7351,32.97,65,64,3.7,ID,1708924606
201,grajau,-5.8194,-46.1386,22.45,94,99,1.02,BR,1708924705
202,embu,-23.6489,-46.8522,22.84,92,71,2.62,BR,1708924589
203,bujaru,-1.515,-48.0447,23.45,99,100,0.58,BR,1708924706
204,maceio,-9.6658,-35.7353,26.69,89,40,1.54,BR,1708924706
205,hargeysa,9.56,44.065,22.6,19,64,0.93,SO,1708924707
206,charters towers,-20.1,146.2667,31.63,56,75,3.81,AU,1708924707
207,tindouf,27.6711,-8.1474,14.55,29,0,1.7,DZ,1708924330
208,belmonte,-15.8631,-38.8828,24.64,88,10,2.32,BR,1708924708
209,kone,-21.0595,164.8658,28.94,67,84,3.34,NC,1708924709
210,ust-nera,64.5667,143.2,-27.5,93,76,1.72,RU,1708924685
211,margate,51.3813,1.3862,7.71,83,100,4.47,GB,1708924710
212,hirara,24.8,125.2833,18.15,72,75,5.66,JP,1708924710
213,tan-tan,28.438,-11.1032,14.76,91,2,4.99,MA,1708924710
214,yaren,-0.5472,166.916,29.38,71,37,3.3,NR,1708924711
215,sandnessjoen,66.0217,12.6316,4.12,81,75,3.09,NO,1708924712
216,bulata,9.8599,122.4016,29.39,61,61,9.14,PH,1708924712
217,thompson,55.7435,-97.8558,-27.96,99,60,1.59,CA,1708924713
218,luderitz,-26.6481,15.1594,16.51,71,1,6.72,NA,1708924713
219,nelson,-41.2833,173.2833,18.06,66,61,4.17,NZ,1708924714
220,macon,39.8667,-88.9668,9.93,66,0,3.09,US,1708924513
221,ewo,-0.8725,14.8206,25.3,72,100,2.03,CG,1708924493
222,kavieng,-2.5744,150.7967,28.03,76,100,2.2,PG,1708924715
223,fortaleza,-3.7227,-38.5247,24.07,94,100,4.63,BR,1708924716
224,sinabang,2.4803,96.3801,30.29,70,61,1.98,ID,1708924717
225,sechura,-5.5569,-80.8222,26.64,69,91,3.17,PE,1708924717
226,badger,64.8,-147.5333,-14.61,83,40,0.0,US,1708924532
227,port saint john's,-31.6229,29.5448,18.73,56,58,7.06,ZA,1708924718
228,porto novo,6.4965,2.6036,26.92,86,55,2.29,BJ,1708924719
229,kalifornsky,60.4183,-151.29,-9.81,86,0,0.0,US,1708924719
230,tazacorte,28.629,-17.9293,16.54,89,75,6.69,ES,1708924720
231,undurkhaan,47.3194,110.6556,-11.65,82,100,2.11,MN,1708924720
232,crane,31.3974,-102.3501,21.34,20,86,2.23,US,1708924720
233,morristown,36.214,-83.2949,9.03,71,100,2.06,US,1708924646
234,santo antonio,-6.3106,-35.4789,24.84,85,18,4.44,BR,1708924629
235,talnakh,69.4865,88.3972,-15.44,95,100,7.98,RU,1708924722
236,santa ana,33.7456,-117.8678,15.85,85,75,2.06,US,1708924518
237,mocajuba,-2.5842,-49.5072,22.5,99,100,0.91,BR,1708924724
238,kincardine,56.0667,-3.7167,3.29,85,24,1.94,GB,1708924724
239,willowmore,-33.2926,23.4895,9.88,67,16,1.4,ZA,1708924724
240,pago pago,-14.2781,-170.7025,28.55,84,40,1.03,AS,1708924725
241,walvis bay,-22.9575,14.5053,16.72,88,40,1.42,NA,1708924626
242,ola,59.5833,151.2833,-13.25,74,66,1.41,RU,1708924726
243,niamey,13.5137,2.1098,24.78,19,48,3.86,NE,1708924726
244,san andres,12.5847,-81.7006,27.01,74,20,5.14,CO,1708924727
245,prince rupert,54.3161,-130.3201,0.24,66,99,4.83,CA,1708924727
246,sitka,57.0531,-135.33,-1.06,37,0,4.63,US,1708924727
247,ingeniero jacobacci,-41.3427,-69.5448,17.34,43,3,1.71,AR,1708924728
248,oltinko'l,40.8011,72.1634,5.41,72,100,1.11,UZ,1708924728
249,vorgashor,67.5833,63.95,0.12,95,100,9.44,RU,1708924412
250,grantsville,40.5999,-112.4644,11.57,37,41,2.24,US,1708924729
251,saudarkrokur,65.7461,-19.6394,2.47,84,100,10.16,IS,1708924234
252,codrington,-38.2667,141.9667,18.39,51,95,7.4,AU,1708924730
253,ferkessedougou,9.6,-5.2,26.57,39,44,2.01,CI,1708924731
254,ugoofaaru,5.6667,73.0,28.21,72,76,7.15,MV,1708924731
255,pimentel,-6.8367,-79.9342,24.33,80,94,4.03,PE,1708924319
256,morehead city,34.7229,-76.726,8.0,77,0,0.45,US,1708924644
257,dori,14.0354,-0.0345,25.25,19,100,4.19,BF,1708924449
258,sasovo,54.3537,41.9199,-7.71,83,100,5.81,RU,1708924733
259,hasaki,35.7333,140.8333,11.22,44,54,9.24,JP,1708924541
260,onega,63.9061,38.1404,-1.16,95,100,3.86,RU,1708924734
261,ancud,-41.8697,-73.8203,11.24,86,1,1.27,CL,1708924680
262,mar del plata,-38.0023,-57.5575,20.53,76,0,4.92,AR,1708924630
263,st. john's,47.5649,-52.7093,-6.03,81,6,3.13,CA,1708924612
264,pyay,18.8167,95.2167,34.92,22,5,3.26,MM,1708924519
265,stanley,54.868,-1.6985,3.76,95,0,3.09,GB,1708924430
266,lazaro cardenas,17.9583,-102.2,23.67,86,100,1.39,MX,1708924736
267,palikir - national government center,6.9248,158.1611,30.41,70,40,4.12,FM,1708924737
268,bengkulu,-3.8004,102.2655,31.04,63,88,3.11,ID,1708924737
269,avarua,-21.2078,-159.775,28.03,83,100,1.54,CK,1708924310
270,remire-montjoly,4.9167,-52.2667,26.02,83,20,0.0,GF,1708924460
271,almendralejo,38.6832,-6.4075,9.26,91,100,7.57,ES,1708924739
272,guiratinga,-16.3494,-53.7583,23.37,80,21,0.71,BR,1708924739
273,chandla,25.0833,80.2,25.18,14,95,4.69,IN,1708924740
274,nishinoomote,30.7333,131.0,14.31,58,75,2.57,JP,1708924740
275,shingu,33.7333,135.9833,10.65,47,8,5.64,JP,1708924741
276,brisas de zicatela,15.8369,-97.0419,24.97,84,81,1.85,MX,1708924741
277,maintirano,-18.0667,44.0167,27.32,82,90,1.56,MG,1708924548
278,san jose del guaviare,2.5729,-72.6459,25.48,49,74,0.5,CO,1708924742
279,sao francisco de assis,-29.5503,-55.1311,22.55,84,55,6.69,BR,1708924743
280,uray,60.1247,64.7758,-3.4,95,100,3.58,RU,1708924743
281,cururupu,-1.8283,-44.8683,23.21,98,100,1.11,BR,1708924744
282,chibougamau,49.9168,-74.3659,-5.21,93,100,4.63,CA,1708924540
283,belinskiy,52.9647,43.4165,-11.61,88,99,4.83,RU,1708924745
284,miyaly,48.8844,53.7836,-12.47,69,1,2.85,KZ,1708924745
285,pustoshka,56.3355,29.369,2.88,96,100,3.83,RU,1708924746
286,alofi,-19.0595,-169.9187,25.94,94,75,3.09,NU,1708924746
287,kushiro,42.975,144.3747,-5.47,93,75,7.2,JP,1708924746
288,hilo,19.7297,-155.09,20.16,91,100,3.09,US,1708924747
289,puerto aysen,-45.4,-72.7,10.01,96,38,1.2,CL,1708924747
290,tura,25.5198,90.2201,26.1,21,21,1.59,IN,1708924398
291,navarre,30.4016,-86.8636,13.19,81,0,1.54,US,1708924748
292,fada,9.5667,8.3,22.34,21,93,2.38,NG,1708924389
